epoch,accuracy,loss,val_accuracy,val_loss
0,0.1599999964237213,2.248382568359375,0.1614583283662796,2.2003118991851807
1,0.16875000298023224,2.0863068103790283,0.21875,2.01450777053833
2,0.26750001311302185,2.0138542652130127,0.2239583283662796,1.9472345113754272
3,0.34375,1.8280445337295532,0.2916666567325592,1.8066158294677734
4,0.35749998688697815,1.6653542518615723,0.34375,1.6692686080932617
5,0.41499999165534973,1.573081374168396,0.3802083432674408,1.5864453315734863
6,0.4637500047683716,1.4582558870315552,0.4739583432674408,1.5246676206588745
7,0.5012500286102295,1.3867082595825195,0.4791666567325592,1.3772977590560913
8,0.5975000262260437,1.1877315044403076,0.578125,1.2225300073623657
9,0.6274999976158142,1.1011552810668945,0.5416666865348816,1.429660677909851
10,0.668749988079071,0.9883973598480225,0.671875,1.054689645767212
11,0.7350000143051147,0.818009614944458,0.7291666865348816,0.9062036871910095
12,0.78125,0.6908972859382629,0.7239583134651184,0.9223468899726868
13,0.7875000238418579,0.6494437456130981,0.7552083134651184,0.7937249541282654
14,0.8187500238418579,0.5795349478721619,0.7552083134651184,0.7928235530853271
15,0.8112499713897705,0.5621316432952881,0.703125,0.9696360230445862
16,0.8149999976158142,0.5506690144538879,0.7604166865348816,0.7125065922737122
17,0.8525000214576721,0.4863809645175934,0.7083333134651184,0.8711166381835938
18,0.8424999713897705,0.5170120000839233,0.7447916865348816,0.837221086025238
19,0.856249988079071,0.4225653111934662,0.71875,0.9021993279457092
20,0.8762500286102295,0.4250003397464752,0.765625,0.8038492798805237
21,0.90625,0.31890687346458435,0.7708333134651184,0.7641003727912903
22,0.9362499713897705,0.2681480348110199,0.8020833134651184,0.6976402401924133
23,0.918749988079071,0.28781622648239136,0.8072916865348816,0.7734618782997131
24,0.925000011920929,0.26637324690818787,0.8020833134651184,0.7458838820457458
25,0.9462500214576721,0.24588659405708313,0.8385416865348816,0.6789539456367493
26,0.9462500214576721,0.232490673661232,0.8072916865348816,0.8091959953308105
27,0.9537500143051147,0.22663022577762604,0.7864583134651184,0.8262606263160706
28,0.9462500214576721,0.23011495172977448,0.8229166865348816,0.6656932234764099
29,0.9462500214576721,0.23314176499843597,0.8229166865348816,0.6748879551887512
