epoch,accuracy,loss
0,0.37410715222358704,1.7992217540740967
1,0.574999988079071,1.3375898599624634
2,0.6910714507102966,1.0666460990905762
3,0.7169643044471741,0.9278801083564758
4,0.7598214149475098,0.822958767414093
5,0.8035714030265808,0.7080519795417786
6,0.8348214030265808,0.6266040205955505
7,0.8500000238418579,0.5637766122817993
8,0.8705357313156128,0.5085477828979492
9,0.8919642567634583,0.4582716226577759
10,0.8946428298950195,0.42457666993141174
11,0.9133928418159485,0.40318289399147034
12,0.9125000238418579,0.380687415599823
13,0.9321428537368774,0.3503861427307129
14,0.949999988079071,0.3054330050945282
15,0.9491071701049805,0.29469045996665955
16,0.9508928656578064,0.27220481634140015
17,0.9642857313156128,0.25615689158439636
18,0.9696428775787354,0.24844975769519806
19,0.96875,0.22309060394763947
20,0.9732142686843872,0.22188568115234375
21,0.9750000238418579,0.21453790366649628
22,0.9785714149475098,0.20075972378253937
23,0.9767857193946838,0.18891119956970215
24,0.9821428656578064,0.18689417839050293
25,0.9839285612106323,0.17282430827617645
26,0.9839285612106323,0.161330908536911
27,0.9892857074737549,0.1528596431016922
28,0.9883928298950195,0.14654943346977234
29,0.9901785850524902,0.14946535229682922
